Ticker,Sector,Open,Close,Volume,SharesOutstanding,Name
COG,Energy,17.93,17.81,5115261,399420000,Cabot Oil & Gas Corporation
CDNS,Technology,126.09,123.46,1471566,278264992,"Cadence Design Systems, Inc."
CPB,Consumer Defensive,48.97,48.87,2653858,303008992,Campbell Soup Company
COF,Financial Services,158.59,159.05,3551974,456800000,Capital One Financial Corporati
CAH,Healthcare,57.36,57.34,1697926,293668000,"Cardinal Health, Inc."
KMX,Consumer Cyclical,118.03,116.68,1121930,163180000,CarMax Inc
CCL,Consumer Cyclical,27.89,27.17,20471126,973540992,Carnival Corporation
CARR,Industrials,44.17,43.88,5536522,868998976,Carrier Global Corporation
CTLT,Healthcare,104.33,101.82,725145,170227008,"Catalent, Inc."
CAT,Industrials,236.6,237.24,2479364,547787008,"Caterpillar, Inc."
CBOE,Financial Services,111.38,111.4,351587,106686000,"Cboe Global Markets, Inc."
CBRE,Real Estate,87.85,87.18,1151127,335656992,CBRE Group Inc
CDW,Technology,168.52,168.07,623959,140524000,CDW Corporation
CE,Basic Materials,165.72,164.15,684459,112633000,Celanese Corporation Celanese C
CNC,Healthcare,72.12,73.73,7134674,582734976,Centene Corporation
CNP,Utilities,24.76,24.71,2684076,551580992,"CenterPoint Energy, Inc (Holdin"
CERN,Healthcare,78.78,77.53,2607065,302247008,Cerner Corporation
CF,Basic Materials,52.77,52.33,1170698,214458000,"CF Industries Holdings, Inc."
SCHW,Financial Services,71.19,72.17,5414960,1805900032,Charles Schwab Corporation (The
CHTR,Communication Services,691.595,692.52,741784,188666000,"Charter Communications, Inc."
CVX,Energy,104.1,104.12,10348753,1928060032,Chevron Corporation
CMG,Consumer Cyclical,1348.31,1330.0,230708,28150500,"Chipotle Mexican Grill, Inc."
CB,Financial Services,166.62,166.71,2032077,449691008,Chubb Limited
CHD,Consumer Defensive,87.47,87.19,1431554,245246000,"Church & Dwight Company, Inc."
CI,Healthcare,261.65,262.24,1020911,347382016,Cigna Corporation
CINF,Financial Services,121.05,120.28,515137,161096992,Cincinnati Financial Corporatio
CTAS,Industrials,351.65,348.43,303531,105053000,Cintas Corporation
CSCO,Technology,52.765,52.43,24468371,4221789952,"Cisco Systems, Inc."
C,Financial Services,76.5,77.65,18543642,2086690048,"Citigroup, Inc."
CFG,Financial Services,48.83,49.39,3259035,425929984,"Citizens Financial Group, Inc."
CTXS,Technology,115.98,115.81,1126150,124164000,"Citrix Systems, Inc."
CLX,Consumer Defensive,180.48,178.35,2113964,124372000,Clorox Company (The)
CME,Financial Services,215.02,217.78,926429,359052992,CME Group Inc.
CMS,Utilities,63.87,64.15,1626234,289460000,CMS Energy Corporation
KO,Consumer Defensive,54.8,54.62,15943108,4311680000,Coca-Cola Company (The)
CTSH,Technology,71.73,71.24,2473591,528532000,Cognizant Technology Solutions 
CL,Consumer Defensive,84.29,84.23,3497923,845969024,Colgate-Palmolive Company
CMCSA,Communication Services,55.33,55.08,16449295,4584840192,Comcast Corporation
CMA,Financial Services,77.15,77.63,925035,139612992,Comerica Incorporated
DIS,Communication Services,172.22,172.4,7720183,1815260032,Walt Disney Company (The)
WM,Industrials,141.17,140.97,1573506,422127008,"Waste Management, Inc."
WAT,Healthcare,312.18,312.22,696912,62059100,Waters Corporation
WEC,Utilities,95.5,96.22,2638981,315435008,"WEC Energy Group, Inc."
WFC,Financial Services,45.97,45.88,27269165,4141120000,Wells Fargo & Company
WELL,Real Estate,73.64,73.28,1081295,417520992,Welltower Inc.
WST,Healthcare,334.01,333.45,655146,73823696,"West Pharmaceutical Services, I"
WDC,Technology,72.33,72.34,4614210,306096992,Western Digital Corporation
WU,Financial Services,24.53,24.57,5741826,410300992,Western Union Company (The)
WRK,Consumer Cyclical,58.04,57.94,2294883,263516992,Westrock Company
WY,Real Estate,37.24,37.04,4788124,749214976,Weyerhaeuser Company
WHR,Consumer Cyclical,238.14,236.86,548434,62624800,Whirlpool Corporation
WMB,Energy,26.49,26.39,5021706,1214759936,"Williams Companies, Inc. (The)"
WLTW,Financial Services,263.49,262.81,1255150,128977000,Willis Towers Watson Public Lim
WYNN,Consumer Cyclical,127.74,127.36,1889120,115640000,"Wynn Resorts, Limited"
XEL,Utilities,71.77,72.04,2551959,538206976,Xcel Energy Inc.
XRX,Technology,23.88,23.74,1310160,191947008,Xerox Holdings Corporation
XLNX,Technology,124.95,122.81,1062692,245759008,"Xilinx, Inc."
XYL,Industrials,114.44,115.47,646251,180002000,Xylem Inc.
YUM,Consumer Cyclical,120.25,119.71,2121756,298000000,"Yum! Brands, Inc."
ZBRA,Technology,496.64,494.33,238222,53499300,Zebra Technologies Corporation
ZBH,Healthcare,168.0,167.32,775510,208316992,"Zimmer Biomet Holdings, Inc."
ZION,Financial Services,57.1,58.1,1457095,163800000,Zions Bancorporation N.A.
ZTS,Healthcare,176.55,176.02,3330084,474985984,Zoetis Inc.
